Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
Run Iter RMSE Test_Error
89 0 0.502707 0.498610 
89 1 0.297243 0.518904 
89 2 0.204348 0.530291 
89 3 0.151043 0.538681 
89 4 0.123210 0.546499 
89 5 0.105249 0.552261 
89 6 0.078386 0.558811 
89 7 0.068017 0.563679 
89 8 0.058770 0.567263 
89 9 0.053030 0.569721 
89 10 0.059106 0.571902 
89 11 0.066588 0.575071 
89 12 0.061704 0.578350 
89 13 0.059459 0.580330 
89 14 0.052167 0.582905 
89 15 0.062352 0.584718 
89 16 0.059964 0.586361 
89 17 0.063920 0.588153 
89 18 0.062452 0.589796 
89 19 0.058445 0.591221 
89 20 0.059248 0.592555 
89 21 0.053008 0.594028 
89 22 0.053816 0.595202 
89 23 0.048566 0.595814 
89 24 0.047803 0.597223 
89 25 0.046467 0.597752 
89 26 0.039356 0.599034 
89 27 0.033590 0.599513 
89 28 0.035309 0.599870 
89 29 0.033171 0.600154 
89 30 0.036451 0.600744 
89 31 0.038159 0.601108 
89 32 0.041255 0.601305 
89 33 0.039947 0.601594 
89 34 0.042405 0.602027 
89 35 0.045856 0.602450 
89 36 0.041705 0.602808 
89 37 0.037814 0.603159 
89 38 0.034307 0.603497 
89 39 0.032586 0.604059 
89 40 0.037524 0.604331 
89 41 0.040424 0.604553 
89 42 0.038003 0.605035 
89 43 0.036858 0.605151 
89 44 0.037260 0.605581 
89 45 0.033156 0.605793 
89 46 0.033616 0.606016 
89 47 0.034389 0.606258 
89 48 0.035624 0.606720 
89 49 0.032499 0.607042 
89 50 0.036607 0.607251 
89 51 0.032866 0.607686 
89 52 0.030916 0.608098 
89 53 0.031458 0.608232 
89 54 0.033590 0.608379 
89 55 0.030688 0.608703 
89 56 0.033064 0.608734 
89 57 0.032632 0.609184 
89 58 0.033095 0.609356 
89 59 0.031481 0.609625 
89 60 0.028739 0.610041 
89 61 0.025572 0.610292 
89 62 0.024815 0.610455 
89 63 0.022585 0.610470 
89 64 0.022831 0.610806 
89 65 0.026885 0.610813 
89 66 0.029692 0.610869 
89 67 0.031794 0.610919 
89 68 0.031240 0.611173 
89 69 0.031839 0.611524 
89 70 0.027976 0.611821 
70 0 0.275790 0.494331 
70 1 0.059384 0.513725 
70 2 0.087997 0.527652 
70 3 0.092910 0.538794 
70 4 0.073146 0.546767 
70 5 0.042661 0.552662 
70 6 0.043151 0.558838 
70 7 0.065261 0.564158 
70 8 0.070150 0.568592 
70 9 0.079564 0.572633 
70 10 0.079090 0.576430 
70 11 0.086754 0.579278 
70 12 0.073284 0.580762 
70 13 0.095621 0.583196 
70 14 0.093499 0.585692 
70 15 0.084062 0.587767 
70 16 0.081484 0.589942 
70 17 0.091570 0.591699 
70 18 0.082592 0.592832 
70 19 0.090228 0.593817 
70 20 0.096036 0.594822 
70 21 0.090783 0.595547 
70 22 0.081536 0.596844 
70 23 0.074697 0.598079 
70 24 0.064682 0.599083 
70 25 0.061502 0.600232 
70 26 0.065760 0.600883 
70 27 0.069871 0.601324 
70 28 0.078511 0.602307 
70 29 0.079617 0.602738 
70 30 0.080064 0.602914 
70 31 0.080045 0.603396 
70 32 0.078982 0.603754 
70 33 0.065013 0.604243 
70 34 0.062395 0.604804 
70 35 0.065586 0.605330 
70 36 0.065575 0.605753 
70 37 0.060050 0.606276 
70 38 0.058757 0.606969 
70 39 0.060067 0.607365 
70 40 0.055805 0.607607 
70 41 0.059341 0.608305 
70 42 0.057706 0.608269 
70 43 0.050953 0.608497 
70 44 0.045673 0.608869 
70 45 0.044529 0.609304 
70 46 0.042325 0.609640 
70 47 0.036831 0.609876 
70 48 0.041665 0.610567 
70 49 0.041031 0.610716 
70 50 0.040576 0.610805 
70 51 0.039403 0.610810 
70 52 0.037127 0.610842 
70 53 0.031333 0.611148 
70 54 0.029479 0.611564 
70 55 0.030062 0.611745 
70 56 0.030262 0.611985 
70 57 0.031993 0.612249 
70 58 0.027431 0.612470 
70 59 0.023048 0.612672 
70 60 0.019430 0.612811 
70 61 0.020772 0.613065 
70 62 0.019754 0.613147 
70 63 0.019356 0.613300 
70 64 0.012955 0.613312 
70 65 0.013441 0.613418 
70 66 0.016696 0.613443 
70 67 0.017532 0.613592 
70 68 0.018435 0.613813 
70 69 0.018266 0.613997 
70 70 0.016279 0.614034 
75 0 0.263340 0.487750 
75 1 0.080796 0.508777 
75 2 0.153724 0.526009 
75 3 0.046606 0.537022 
75 4 0.076666 0.545988 
75 5 0.081694 0.553023 
75 6 0.042582 0.558308 
75 7 0.049596 0.562142 
75 8 0.074824 0.566339 
75 9 0.079049 0.570379 
75 10 0.087206 0.573033 
75 11 0.098478 0.575903 
75 12 0.101976 0.578009 
75 13 0.092581 0.579750 
75 14 0.094605 0.582314 
75 15 0.091941 0.583711 
75 16 0.095754 0.585999 
75 17 0.108604 0.588486 
75 18 0.127413 0.590202 
75 19 0.121728 0.591873 
75 20 0.081990 0.592564 
75 21 0.069101 0.593690 
75 22 0.071816 0.594872 
75 23 0.075583 0.596893 
75 24 0.063415 0.597620 
75 25 0.051368 0.598471 
75 26 0.064150 0.599287 
75 27 0.078471 0.599967 
75 28 0.085642 0.600801 
75 29 0.088234 0.601567 
75 30 0.096430 0.602198 
75 31 0.079727 0.602794 
75 32 0.089141 0.603285 
75 33 0.092514 0.604100 
75 34 0.090600 0.604712 
75 35 0.084611 0.605014 
75 36 0.076642 0.605353 
75 37 0.077252 0.605642 
75 38 0.074596 0.606280 
75 39 0.080246 0.606956 
75 40 0.071384 0.607223 
75 41 0.073213 0.607443 
75 42 0.068609 0.607703 
75 43 0.064199 0.608018 
75 44 0.056403 0.608131 
75 45 0.061868 0.608455 
75 46 0.064330 0.608831 
75 47 0.063691 0.609098 
75 48 0.060625 0.609167 
75 49 0.058739 0.609185 
75 50 0.067543 0.609416 
75 51 0.074613 0.609776 
75 52 0.072896 0.610211 
75 53 0.071234 0.610460 
75 54 0.068457 0.610612 
75 55 0.064793 0.611066 
75 56 0.066405 0.611383 
75 57 0.060964 0.611477 
75 58 0.062812 0.611778 
75 59 0.065295 0.612035 
75 60 0.067449 0.612127 
75 61 0.067853 0.612410 
75 62 0.067806 0.612584 
75 63 0.061891 0.612690 
75 64 0.061707 0.612933 
75 65 0.060074 0.613123 
75 66 0.062002 0.613365 
75 67 0.060897 0.613400 
75 68 0.062315 0.613622 
75 69 0.065183 0.613894 
75 70 0.064534 0.614144 
66 0 0.419874 0.496189 
66 1 0.234902 0.514888 
66 2 0.104574 0.530685 
66 3 0.055440 0.540343 
66 4 0.101312 0.548480 
66 5 0.125401 0.554083 
66 6 0.116448 0.557779 
66 7 0.087218 0.561326 
66 8 0.077407 0.566029 
66 9 0.081457 0.568992 
66 10 0.069696 0.571360 
66 11 0.062867 0.574126 
66 12 0.055756 0.577206 
66 13 0.059568 0.579163 
66 14 0.075280 0.581278 
66 15 0.065211 0.582799 
66 16 0.058512 0.584408 
66 17 0.057253 0.586079 
66 18 0.063186 0.587934 
66 19 0.057251 0.589730 
66 20 0.053633 0.591634 
66 21 0.047477 0.592330 
66 22 0.050724 0.593081 
66 23 0.048304 0.594575 
66 24 0.041000 0.595753 
66 25 0.044234 0.596448 
66 26 0.046603 0.597130 
66 27 0.043121 0.597918 
66 28 0.042788 0.598658 
66 29 0.046821 0.599327 
66 30 0.057317 0.600248 
66 31 0.057911 0.600675 
66 32 0.056217 0.601251 
66 33 0.057950 0.601681 
66 34 0.049639 0.601900 
66 35 0.045500 0.602563 
66 36 0.040897 0.602761 
66 37 0.034957 0.602888 
66 38 0.035947 0.603232 
66 39 0.036090 0.603616 
66 40 0.040749 0.604341 
66 41 0.038546 0.604548 
66 42 0.039601 0.604875 
66 43 0.037925 0.605218 
66 44 0.044327 0.605497 
66 45 0.042824 0.605952 
66 46 0.035504 0.606299 
66 47 0.030362 0.606544 
66 48 0.032055 0.607019 
66 49 0.032051 0.607466 
66 50 0.032586 0.607687 
66 51 0.029435 0.607789 
66 52 0.029059 0.607956 
66 53 0.028527 0.608405 
66 54 0.027709 0.608840 
66 55 0.023753 0.609031 
66 56 0.022138 0.609207 
66 57 0.025215 0.609559 
66 58 0.025805 0.609672 
66 59 0.022522 0.609880 
66 60 0.023907 0.610293 
66 61 0.030913 0.610524 
66 62 0.030121 0.610723 
66 63 0.038625 0.611011 
66 64 0.034836 0.611166 
66 65 0.043331 0.611235 
66 66 0.050737 0.611448 
66 67 0.044808 0.611609 
66 68 0.043907 0.611848 
66 69 0.045545 0.612008 
66 70 0.044258 0.612076 
178 0 0.115725 0.486201 
178 1 0.084801 0.508683 
178 2 0.118378 0.523002 
178 3 0.146187 0.534166 
178 4 0.092865 0.542978 
178 5 0.108486 0.551144 
178 6 0.118745 0.557246 
178 7 0.132853 0.561340 
178 8 0.104167 0.566235 
178 9 0.108510 0.570425 
178 10 0.069617 0.574295 
178 11 0.104501 0.577079 
178 12 0.104757 0.580271 
178 13 0.113117 0.582237 
178 14 0.128587 0.584479 
178 15 0.099899 0.586698 
178 16 0.095118 0.588645 
178 17 0.080382 0.590307 
178 18 0.082527 0.591719 
178 19 0.078843 0.593227 
178 20 0.067376 0.594409 
178 21 0.062365 0.595703 
178 22 0.059628 0.596739 
178 23 0.057150 0.597996 
178 24 0.060334 0.598914 
178 25 0.050785 0.599583 
178 26 0.057867 0.599761 
178 27 0.051218 0.600199 
178 28 0.052055 0.600638 
178 29 0.065739 0.601213 
178 30 0.064126 0.601741 
178 31 0.068964 0.601689 
178 32 0.071500 0.601986 
178 33 0.069545 0.602390 
178 34 0.068537 0.603117 
178 35 0.049841 0.603665 
178 36 0.054194 0.604080 
178 37 0.059116 0.604316 
178 38 0.056722 0.604844 
178 39 0.037721 0.605650 
178 40 0.039243 0.605666 
178 41 0.032138 0.606127 
178 42 0.031678 0.606444 
178 43 0.032360 0.606829 
178 44 0.036931 0.607005 
